lord
219936
117283
160915
126050
111633
159942
103916
165991
154168
129794
124432
177438
210901
134565
134910
148332
121753
158000
102220
161837
156306
129433
131766
168445
197387
148745
142494
123014
88953
100342
104801
195145
181722
125898
108018
146264
192532
94209
141589
145672
90304
128716
110134
226380
188425
129489
100496
169080
212580
121860
141705
117270
92951
148954
112710
193770
189330
120975
120510
174660
